,url_topic,topic_words
1,aberdeen-sd,aberdeen sd
2,abilene-tx,abilene tx
3,acworth-ga,acworth ga
4,ada-ok,ada ok
5,addison-il,addison il
6,adelanto-ca,adelanto ca
7,adrian-mi,adrian mi
8,agawam-ma,agawam ma
9,agoura-hills-ca,agoura hills ca
10,aiken-sc,aiken sc
11,akron-oh,akron oh
12,alabaster-al,alabaster al
13,alameda-ca,alameda ca
14,alamogordo-nm,alamogordo nm
15,alamo-tx,alamo tx
16,albany-ga,albany ga
17,albany-ny,albany ny
18,albany-or,albany or
19,albert-lea-mn,albert lea mn
20,albertville-al,albertville al
21,albuquerque-nm,albuquerque nm
22,alexandria-la,alexandria la
23,alexandria-va,alexandria va
24,algonquin-il,algonquin il
25,alhambra-ca,alhambra ca
26,alice-tx,alice tx
27,aliso-viejo-ca,aliso viejo ca
28,allendale-sc,allendale sc
29,allen-park-mi,allen park mi
30,allentown-pa,allentown pa
31,allen-tx,allen tx
32,alliance-oh,alliance oh
33,alpharetta-ga,alpharetta ga
34,alsip-il,alsip il
35,altamonte-springs-fl,altamonte springs fl
36,alton-il,alton il
37,altoona-pa,altoona pa
38,altus-ok,altus ok
39,alvin-tx,alvin tx
40,amarillo-tx,amarillo tx
41,american-fork-ut,american fork ut
42,ames-ia,ames ia
43,amsterdam-ny,amsterdam ny
44,anacortes-wa,anacortes wa
45,anaheim-ca,anaheim ca
46,anchorage-ak,anchorage ak
47,anderson-id,anderson id
48,anderson-in,anderson in
49,anderson-sc,anderson sc
50,andover-mn,andover mn
51,angleton-tx,angleton tx
52,ankeny-ia,ankeny ia
53,annapolis-md,annapolis md
54,ann-arbor-mi,ann arbor mi
55,anniston-al,anniston al
56,anoka-mn,anoka mn
57,ansonia-ct,ansonia ct
58,antioch-ca,antioch ca
59,apache-junction-az,apache junction az
60,apex-nc,apex nc
61,apopka-fl,apopka fl
62,appleton-wi,appleton wi
63,apple-valley-ca,apple valley ca
64,apple-valley-mn,apple valley mn
65,arcadia-ca,arcadia ca
66,arcata-ca,arcata ca
67,ardmore-ok,ardmore ok
68,arlington-heights-il,arlington heights il
69,arlington-tx,arlington tx
70,arlington-wa,arlington wa
71,arnold-mo,arnold mo
72,arroyo-grande-ca,arroyo grande ca
73,arvada-co,arvada co
74,asheboro-nc,asheboro nc
75,asheville-nc,asheville nc
76,ashland-ky,ashland ky
77,ashland-oh,ashland oh
78,ashland-or,ashland or
79,ashtabula-oh,ashtabula oh
80,ashwaubenon-wi,ashwaubenon wi
81,atascadero-ca,atascadero ca
